continent,country,metric,year,value
Africa,Algeria,gdpPercap,1952,2449.008185
Africa,Algeria,lifeExp,1952,43.077
Africa,Algeria,pop,1952,9279525.0
Africa,Algeria,gdpPercap,1957,3013.976023
Africa,Algeria,lifeExp,1957,45.685
Africa,Algeria,pop,1957,10270856.0
Africa,Algeria,gdpPercap,1962,2550.81688
Africa,Algeria,lifeExp,1962,48.303
Africa,Algeria,pop,1962,11000948.0
Africa,Algeria,gdpPercap,1967,3246.991771
Africa,Algeria,lifeExp,1967,51.407
Africa,Algeria,pop,1967,12760499.0
Africa,Algeria,gdpPercap,1972,4182.663766
Africa,Algeria,lifeExp,1972,54.518
Africa,Algeria,pop,1972,14760787.0
Africa,Algeria,gdpPercap,1977,4910.416756
Africa,Algeria,lifeExp,1977,58.014
Africa,Algeria,pop,1977,17152804.0
Africa,Algeria,gdpPercap,1982,5745.160213
Africa,Algeria,lifeExp,1982,61.368
Africa,Algeria,pop,1982,20033753.0
Africa,Algeria,gdpPercap,1987,5681.358539
Africa,Algeria,lifeExp,1987,65.799
Africa,Algeria,pop,1987,23254956.0
Africa,Algeria,gdpPercap,1992,5023.216647
Africa,Algeria,lifeExp,1992,67.744
Africa,Algeria,pop,1992,26298373.0
Africa,Algeria,gdpPercap,1997,4797.295051
Africa,Algeria,lifeExp,1997,69.152
Africa,Algeria,pop,1997,29072015.0
Africa,Algeria,gdpPercap,2002,5288.040382
Africa,Algeria,lifeExp,2002,70.994
Africa,Algeria,pop,2002,31287142.0
Africa,Algeria,gdpPercap,2007,6223.367465
Africa,Algeria,lifeExp,2007,72.301
Africa,Algeria,pop,2007,33333216.0
Africa,Angola,gdpPercap,1952,3520.610273
Africa,Angola,lifeExp,1952,30.015
Africa,Angola,pop,1952,4232095.0
Africa,Angola,gdpPercap,1957,3827.940465
Africa,Angola,lifeExp,1957,31.999
Africa,Angola,pop,1957,4561361.0
Africa,Angola,gdpPercap,1962,4269.276742
Africa,Angola,lifeExp,1962,34.0
Africa,Angola,pop,1962,4826015.0
Africa,Angola,gdpPercap,1967,5522.776375
Africa,Angola,lifeExp,1967,35.985
Africa,Angola,pop,1967,5247469.0
Africa,Angola,gdpPercap,1972,5473.288005
Africa,Angola,lifeExp,1972,37.928
Africa,Angola,pop,1972,5894858.0
Africa,Angola,gdpPercap,1977,3008.647355
Africa,Angola,lifeExp,1977,39.483
Africa,Angola,pop,1977,6162675.0
Africa,Angola,gdpPercap,1982,2756.953672
Africa,Angola,lifeExp,1982,39.942
Africa,Angola,pop,1982,7016384.0
Africa,Angola,gdpPercap,1987,2430.208311
Africa,Angola,lifeExp,1987,39.906
Africa,Angola,pop,1987,7874230.0
Africa,Angola,gdpPercap,1992,2627.845685
Africa,Angola,lifeExp,1992,40.647
Africa,Angola,pop,1992,8735988.0
Africa,Angola,gdpPercap,1997,2277.140884
Africa,Angola,lifeExp,1997,40.963
Africa,Angola,pop,1997,9875024.0
Africa,Angola,gdpPercap,2002,2773.287312
Africa,Angola,lifeExp,2002,41.003
Africa,Angola,pop,2002,10866106.0
Africa,Angola,gdpPercap,2007,4797.231267
Africa,Angola,lifeExp,2007,42.731
Africa,Angola,pop,2007,12420476.0
Africa,Benin,gdpPercap,1952,1062.7522
Africa,Benin,lifeExp,1952,38.223
Africa,Benin,pop,1952,1738315.0
Africa,Benin,gdpPercap,1957,959.6010805
Africa,Benin,lifeExp,1957,40.358
Africa,Benin,pop,1957,1925173.0
Africa,Benin,gdpPercap,1962,949.4990641
Africa,Benin,lifeExp,1962,42.618
Africa,Benin,pop,1962,2151895.0
Africa,Benin,gdpPercap,1967,1035.831411
Africa,Benin,lifeExp,1967,44.885
Africa,Benin,pop,1967,2427334.0
Africa,Benin,gdpPercap,1972,1085.796879
Africa,Benin,lifeExp,1972,47.014
Africa,Benin,pop,1972,2761407.0
Africa,Benin,gdpPercap,1977,1029.161251
Africa,Benin,lifeExp,1977,49.19
Africa,Benin,pop,1977,3168267.0
Africa,Benin,gdpPercap,1982,1277.897616
Africa,Benin,lifeExp,1982,50.904
Africa,Benin,pop,1982,3641603.0
Africa,Benin,gdpPercap,1987,1225.85601
Africa,Benin,lifeExp,1987,52.337
Africa,Benin,pop,1987,4243788.0
Africa,Benin,gdpPercap,1992,1191.207681
Africa,Benin,lifeExp,1992,53.919
